Player,Twitter,Tm,person,,,,,
Jameer Nelson,jameernelson,DEN,Jason,,,,,
Joffrey Lauvergne,NA,DEN,Jason,,,,,
Jusuf Nurkic,nurkic23,DEN,Jason,,,,,
Kenneth Faried,KennethFaried35,DEN,Jason,,,,,
Kostas Papanikolaou,NA,DEN,Jason,,,,,
Mike Miller,m33m,DEN,Jason,,,,,
Nikola Jokic,NJokic15,DEN,Jason,,,,,
Randy Foye,randyfoye,DEN,Jason,,,,,
Sean Kilpatrick,NA,DEN,Jason,,,,,
Will Barton,WillTheThrillB5,DEN,Jason,,,,,
Andre Drummond,AndreDrummondd,DET,Mengfei,,,,,
Anthony Tolliver,ATolliver44,DET,Mengfei,,,,,
Aron Baynes,NA,DET,Mengfei,,,,,
Brandon Jennings,BRAND0NJENNINGS,DET,Mengfei,,,,,
Darrun Hilliard,NA,DET,Mengfei,,,,,
Ersan Ilyasova,NA,DET,Mengfei,,,,,
Jodie Meeks,Jmeeks20,DET,Mengfei,,,,,
Joel Anthony,NA,DET,Mengfei,,,,,
Kentavious Caldwell-Pope,CaldwellPope,DET,Mengfei,,,,,
Marcus Morris,MookMorris2,DET,Mengfei,,,,,
Reggie Bullock,ReggieBullock35,DET,Mengfei,,,,,
Reggie Jackson,Reggie_Jackson,DET,Mengfei,,,,,
Spencer Dinwiddie,SDinwiddie_25,DET,Mengfei,,,,,
Stanley Johnson,iAmSJ,DET,Mengfei,,,,,
Steve Blake,SteveBlake5,DET,Mengfei,,,,,
Andre Iguodala,andre,GSW,Jamie,,,,,
Andrew Bogut,AndrewMBogut,GSW,Jamie,,,,,
Brandon Rush,BRush_25,GSW,Jamie,,,,,
Draymond Green,Money23Green,GSW,Jamie,,,,,
Festus Ezeli,fezzyfel,GSW,Jamie,,,,,
Harrison Barnes,HBarnes,GSW,Jamie,,,,,
Ian Clark,IanClark,GSW,Jamie,,,,,
James Michael McAdoo,NA,GSW,Jamie,,,,,
Jason Thompson,jtthekid,GSW,Jamie,,,,,
Klay Thompson,KlayThompson,GSW,Jamie,,,,,
Leandro Barbosa,leandrinhooo20,GSW,Jamie,,,,,
Marreese Speights,Mospeights16,GSW,Jamie,,,,,
Shaun Livingston,NA,GSW,Jamie,,,,,
Stephen Curry,StephenCurry30,GSW,Jamie,,,,,
Chuck Hayes,c_hayes44,HOU,Jason,,,,,
Clint Capela,CapelaClint,HOU,Jason,,,,,
Corey Brewer,CoreyBrewer13,HOU,Jason,,,,,
Donatas Motiejunas,DonatasMot,HOU,Jason,,,,,
Dwight Howard,DwightHoward,HOU,Jason,,,,,
James Harden,JHarden13,HOU,Jason,,,,,
Jason Terry,jasonterry31,HOU,Jason,,,,,
Josh Smith,TooSmoove5,HOU,Jason,,,,,
K.J. McDaniels,KJMcDaniels,HOU,Jason,,,,,
Marcus Thornton,M3Thornton,HOU,Jason,,,,,
Montrezl Harrell,MONSTATREZZ,HOU,Jason,,,,,
Patrick Beverley,patbev21,HOU,Jason,,,,,
Sam Dekker,dekker,HOU,Jason,,,,,
Terrence Jones,TerrenceJones1,HOU,Jason,,,,,
Trevor Ariza,TrevorAriza,HOU,Jason,,,,,
Ty Lawson,TyLawson3,HOU,Jason,,,,,
C.J. Miles,masfresco,IND,Mengfei,,,,,
Chase Budinger,CBudinger,IND,Mengfei,,,,,
George Hill,George_Hill3,IND,Mengfei,,,,,
Glenn Robinson III,GRIII,IND,Mengfei,,,,,
Ian Mahinmi,ianmahinmi,IND,Mengfei,,,,,
Jordan Hill,jordanchill43,IND,Mengfei,,,,,
Joseph Young,NA,IND,Mengfei,,,,,
Lavoy Allen,mr_5hundred,IND,Mengfei,,,,,
Monta Ellis,NA,IND,Mengfei,,,,,
Myles Turner,Original_Turner,IND,Mengfei,,,,,
Paul George,Yg_Trece,IND,Mengfei,,,,,
Rodney Stuckey,NA,IND,Mengfei,,,,,
Shayne Whittington,NA,IND,Mengfei,,,,,
Solomon Hill,NA,IND,Mengfei,,,,,
Austin Rivers,AustinRivers25,LAC,Jamie,,,,,
Blake Griffin,blakegriffin32,LAC,Jamie,,,,,
Branden Dawson,219MadeMe,LAC,Jamie,,,,,
C.J. Wilcox,UCjwilcox23W,LAC,Jamie,,,,,
Chris Paul,CP3,LAC,Jamie,,,,,
Cole Aldrich,colea45,LAC,Jamie,,,,,
DeAndre Jordan,deandrejordan,LAC,Jamie,,,,,
J.J. Redick,JJRedick,LAC,Jamie,,,,,
Jamal Crawford,JCrossover,LAC,Jamie,,,,,
Jeff Ayres,NA,LAC,Jamie,,,,,
Lance Stephenson,StephensonLance,LAC,Jamie,,,,,
Luc Mbah a Moute,mbahamoute,LAC,Jamie,,,,,
Pablo Prigioni,PPrigioni9,LAC,Jamie,,,,,
Paul Pierce,paulpierce34,LAC,Jamie,,,,,
Wesley Johnson,NA,LAC,Jamie,,,,,
Anthony Brown,TwoShotOne,LAL,Jason,,,,,
Brandon Bass,NA,LAL,Jason,,,,,
D'Angelo Russell,Dloading,LAL,Jason,,,,,
Jordan Clarkson,JClark5on,LAL,Jason,,,,,
Julius Randle,J30_RANDLE,LAL,Jason,,,,,
Kobe Bryant,kobebryant,LAL,Jason,,,,,
Larry Nance Jr.,Larrydn22,LAL,Jason,,,,,
Lou Williams,TeamLou23,LAL,Jason,,,,,
Marcelo Huertas,NA,LAL,Jason,,,,,
Metta World Peace,MettaWorldPeace,LAL,Jason,,,,,
Nick Young,NickSwagyPYoung,LAL,Jason,,,,,
Robert Sacre,Bobby_Sacre,LAL,Jason,,,,,
