Mario Hezonja,MarioHezonja,ORL,Jamie
Nikola Vucevic,NikolaVucevic,ORL,Jamie
Shabazz Napier,ShabazzNapier,ORL,Jamie
Tobias Harris,tobias31,ORL,Jamie
Victor Oladipo,VicOladipo,ORL,Jamie
Al-Farouq Aminu,farouq1,POR,Jamie
Allen Crabbe,allencrabbe,POR,Jamie
C.J. McCollum,CJMcCollum,POR,Jamie
Chris Kaman,ChrisKaman,POR,Jamie
Cliff Alexander,CAlexander,POR,Jamie
Damian Lillard,Dame_Lillard,POR,Jamie
Ed Davis,eddavis32,POR,Jamie
Gerald Henderson,GhJr09,POR,Jamie
Luis Montero,None,POR,Jamie
Mason Plumlee,masonplumlee,POR,Jamie
Maurice Harkless,moe_harkless,POR,Jamie
Meyers Leonard,MeyersLeonard11,POR,Jamie
Noah Vonleh,NoahVonleh,POR,Jamie
Pat Connaughton,PlanetPat5,POR,Jamie
Tim Frazier,psufraz23,POR,Jamie
Anthony Bennett,AnthonyBennett,TOR,Jamie
Bismack Biyombo,bismackbiyombo0,TOR,Jamie
Bruno Caboclo,Bruno_Caboclo,TOR,Jamie
Cory Joseph,Cory_Joe,TOR,Jamie
Delon Wright,delonwright,TOR,Jamie
DeMar DeRozan,DeMar_DeRozan,TOR,Jamie
DeMarre Carroll,DeMarreCarroll1,TOR,Jamie
James Johnson,IamJJ3,TOR,Jamie
Jonas Valanciunas,JValanciunas,TOR,Jamie
Kyle Lowry,Klow7,TOR,Jamie
Lucas Nogueira,Bebe92,TOR,Jamie
Luis Scola,LScola4,TOR,Jamie
Norman Powell,npowell2404,TOR,Jamie
Patrick Patterson,pdpatt,TOR,Jamie
Terrence Ross,T_DotFlight31,TOR,Jamie
Bradley Beal,RealDealBeal23,WAS,Jamie
DeJuan Blair,DeJuan45,WAS,Jamie
Drew Gooden,DrewGooden,WAS,Jamie
Garrett Temple,GTemp14,WAS,Jamie
Gary Neal,gneal1414,WAS,Jamie
Jared Dudley,JaredDudley619,WAS,Jamie
Jarell Eddie,J_Ed31,WAS,Jamie
John Wall,JohnWall,WAS,Jamie
Kelly Oubre,KELLYOUBREJR,WAS,Jamie
Kris Humphries,KrisHumphries,WAS,Jamie
Marcin Gortat,MGortat,WAS,Jamie
Nene Hilario,NeneHilario42,WAS,Jamie
Otto Porter,OttoPorter,WAS,Jamie
Ramon Sessions,SessionsRamon,WAS,Jamie
